1_SO248_Alg	10_SO248_Alg	100_SO248_Alg	101_SO248_Alg	102_SO248_Alg	103_SO248_Alg	104_SO248_Alg	105_SO248_Alg	106_SO248_Alg	107_SO248_Alg	108_SO248_Alg	109_SO248_Alg	11_SO248_Alg	110_SO248_Alg	111_SO248_Alg	112_SO248_Alg	113_SO248_Alg	114_SO248_Alg	115_SO248_Alg	116_SO248_Alg	117_SO248_Alg	118_SO248_Alg	12_SO248_Alg	13_SO248_Alg	14_SO248_Alg	15_SO248_Alg	16_SO248_Alg	17_SO248_Alg	18_SO248_Alg	19_SO248_Alg	2_SO248_Alg	20_SO248_Alg	21_SO248_Alg	22_SO248_Alg	23_SO248_Alg	24_SO248_Alg	25_SO248_Alg	26_SO248_Alg	27_SO248_Alg	28_SO248_Alg	29_SO248_Alg	3_SO248_Alg	30_SO248_Alg	31_SO248_Alg	32_SO248_Alg	33_SO248_Alg	34_SO248_Alg	35_SO248_Alg	36_SO248_Alg	37_SO248_Alg	38_SO248_Alg	39_SO248_Alg	4_SO248_Alg	40_SO248_Alg	41_SO248_Alg	42_SO248_Alg	43_SO248_Alg	44_SO248_Alg	45_SO248_Alg	46_SO248_Alg	47_SO248_Alg	48_SO248_Alg	49_SO248_Alg	5_SO248_Alg	50_SO248_Alg	51_SO248_Alg	52_SO248_Alg	53_SO248_Alg	54_SO248_Alg	55_SO248_Alg	56_SO248_Alg	57_SO248_Alg	58_SO248_Alg	59_SO248_Alg	6_SO248_Alg	60_SO248_Alg	61_SO248_Alg	62_SO248_Alg	63_SO248_Alg	64_SO248_Alg	65_SO248_Alg	66_SO248_Alg	67_SO248_Alg	68_SO248_Alg	69_SO248_Alg	7_SO248_Alg	70_SO248_Alg	71_SO248_Alg	72_SO248_Alg	73_SO248_Alg	74_SO248_Alg	75_SO248_Alg	76_SO248_Alg	77_SO248_Alg	78_SO248_Alg	79_SO248_Alg	8_SO248_Alg	80_SO248_Alg	81_SO248_Alg	82_SO248_Alg	83_SO248_Alg	84_SO248_Alg	85_SO248_Alg	86_SO248_Alg	87_SO248_Alg	88_SO248_Alg	89_SO248_Alg	9_SO248_Alg	90_SO248_Alg	91_SO248_Alg	92_SO248_Alg	93_SO248_Alg	94_SO248_Alg	95_SO248_Alg	96_SO248_Alg	97_SO248_Alg	98_SO248_Alg	99_SO248_Alg	119_SO248_Alg	120_SO248_Alg	121_SO248_Alg	122_SO248_Alg	123_SO248_Alg	124_SO248_Alg	125_SO248_Alg	126_SO248_Alg	127_SO248_Alg	128_SO248_Alg	129_SO248_Alg	130_SO248_Alg	131_SO248_Alg	132_SO248_Alg	133_SO248_Alg	134_SO248_Alg	135_SO248_Alg	136_SO248_Alg
asv22	151	575	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	7	0	0	15	1	16	16	19	25	4	9	231	23	0	0	0	0	0	0	13	2	0	140	0	0	343	348	496	666	822	1046	875	3025	234	1716	1416	26	18	0	13	54	53	112	36	505	72	112	0	0	0	0	0	0	0	0	278	1	0	0	215	166	173	139	0	146	335	672	104	412	8	28	5	13	75	22	89	39	801	182	119	71	88	4	7	3	34	33	85	730	17	66	27	237	47	239	0	47	277	66	148	1059	170	1520	3162	1812	35	4	34	240	104	294	294	373	807	14	7	10
asv23	0	178	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	1	0	1	0	0	21	0	0	1	1	3	11	239	124	175	289	34	50	114	0	0	0	0	0	0	0	0	576	0	0	0	0	0	0	0	0	0	0	146	0	0	0	116	123	91	117	0	107	457	390	417	466	0	0	0	410	1157	335	1034	417	191	1081	689	764	409	1	2	1	39	51	9	101	8	150	2	3	27	4	0	3	4	1	793	1663	627	1255	2592	2127	16	4	1	1552	959	1807	1058	1106	1599	35	19	2
asv24	20	331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	1	3	6	1	5	1	251	0	0	0	0	0	0	0	12	0	0	212	0	0	1	34	65	21	259	603	108	242	146	146	56	0	0	0	0	1	5	0	0	1796	1	0	0	0	0	0	0	0	0	0	1548	0	0	0	364	108	212	73	0	72	389	637	174	103	0	2	0	940	656	925	717	701	847	494	1526	905	324	0	2	0	2	5	0	1069	0	0	1	2	3	0	0	3	1	1	215	892	266	323	257	448	1	0	0	1436	1936	2304	1019	1021	639	37	1	1
asv25	300	104	0	0	1	0	2	0	6	0	0	0	373	0	0	0	0	0	0	4	0	15	315	317	832	215	473	389	40	258	304	218	0	1	0	0	0	0	6	24	0	196	0	0	921	449	756	842	368	391	349	163	454	156	163	1130	1147	0	614	645	618	1160	223	171	462	447	0	0	0	0	0	0	0	0	196	0	0	0	9	364	9	362	0	469	25	210	227	16	443	30	457	1	210	1	193	6	175	391	24	143	7	181	16	234	1103	974	240	120	974	46	1160	111	746	182	4	717	125	823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv26	5	0	432	1556	173	2222	432	1978	0	445	1834	532	0	1621	336	2435	158	328	1426	210	782	0	0	0	2	0	0	0	0	0	1	10	431	367	325	274	360	272	259	161	512	1	201	403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	492	406	430	466	613	755	480	532	0	811	595	835	39	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv27	5	0	355	791	148	1238	327	1190	0	505	1462	568	0	1149	384	1772	297	411	1287	288	933	0	0	0	0	0	0	0	0	0	0	12	293	223	261	219	276	215	281	145	112	0	70	149	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	607	1142	1093	1323	1488	1390	811	1073	0	370	412	513	36	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv28	0	81	22	0	7	0	31	2	201	3	64	13	31	1	12	7	4	1	1	13	0	0	32	47	27	11	65	140	5	24	0	65	3	0	2	0	1	4	2	11	2	1	3	0	0	0	0	0	0	1	1	0	0	0	28	16	33	0	9	8	58	229	5	0	34	80	0	1	6	2	1	4	2	1	0	0	1	0	9	1	8	0	0	0	8	0	4	3	272	706	85	2	0	0	2	0	1	2	4	0	3	473	360	75	607	610	1371	8	658	2261	521	3948	604	900	1	664	2611	235	2	101	10	96	51	16	1254	205	939	3	72	27	47	14	18	688	484	1406
asv29	4	0	248	791	150	1016	258	853	0	285	1176	334	0	912	205	1372	272	435	1861	206	1167	0	1	0	0	0	0	0	0	0	2	30	304	237	247	188	354	286	307	211	324	0	195	353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	558	603	720	621	768	1078	589	1346	0	851	859	999	28	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv30	0	0	0	3	0	0	11	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	3	1	5	14	7	7	5	3	0	5	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	2	0	0	1	0	1	0	0	1	0	0	3	12	19	5	0	10	11	0	0	0	0	1	0	0	0	0	0	0	0	20	9	15	6	0	7	80	0	14	80	12	229	16	12	61	16	34	9	0	43	59	15	38	26	302	62	109	122	390	1	45	7563	300	1272	200	1068	0	115	7601	666	27	244	26	107	156	95	132	44	57	35	81	34	52	37	64	188	242	110
asv31	1	115	0	0	3	0	3	2	54	0	0	3	0	0	1	0	0	0	0	5	0	0	3	13	4	6	18	105	16	17	44	198	0	0	0	0	0	0	5	16	0	18	0	0	5	7	11	19	128	160	116	254	47	118	128	0	0	0	2	6	15	193	9	218	62	442	0	0	0	0	0	0	0	0	91	0	0	0	44	84	69	67	0	65	186	200	218	70	8	102	7	49	794	66	508	83	124	616	142	228	24	9	122	27	276	236	199	132	33	272	337	1227	2490	313	3	460	1618	3938	396	294	359	189	261	304	90	12	41	435	145	604	79	94	104	29	53	85
asv32	60	2	0	0	0	0	0	0	58	0	0	2	56	0	0	0	0	0	0	0	0	0	398	324	979	743	333	251	428	166	34	66	0	1	1	2	0	0	0	5	0	59	0	0	543	173	357	269	1	19	7	1	50	4	1	657	934	0	593	2703	1030	887	3353	2	1026	289	0	3	2	0	5	0	0	0	11	0	0	0	1	216	3	119	0	217	6	5	34	1	112	26	233	0	57	1	45	2	1	70	1	12	1	60	11	119	181	186	9	6	31	30	421	45	243	3	0	47	136	925	85	5	24	1	0	9	66	570	9	78	0	19	0	2	0	13	281	12
asv33	113	85	0	0	0	0	3	0	32	0	0	0	56	0	0	0	0	0	0	5	0	0	117	110	148	122	103	156	128	66	222	64	0	0	0	0	0	0	0	8	0	186	0	0	519	459	512	695	493	645	589	521	271	454	495	410	334	0	217	478	451	1156	696	145	519	596	0	0	0	0	2	0	0	0	89	0	0	0	2	246	0	239	0	373	24	252	148	11	115	11	94	0	45	0	141	2	101	185	1	30	1	50	3	49	531	567	50	115	323	27	466	77	572	64	0	440	86	672	687	51	497	24	85	54	12	331	13	211	1	147	2	1	2	4	120	1
asv34	192	59	0	0	0	0	2	1	28	0	0	0	217	0	0	0	0	0	0	2	0	4	454	208	798	671	508	478	268	372	160	418	0	0	0	1	2	0	2	50	0	139	0	0	414	279	320	447	119	194	169	116	147	120	83	658	537	0	534	634	571	1046	518	59	751	631	0	1	1	0	1	0	0	0	101	0	0	0	4	203	4	210	0	277	5	146	78	8	255	11	217	1	51	0	74	1	63	88	2	37	3	77	10	88	624	495	90	121	622	1	571	75	474	106	0	510	53	479	165	13	95	5	22	11	19	353	9	181	2	101	2	5	8	5	176	7
asv35	1	2	284	1074	171	1509	386	1891	0	371	857	484	0	722	325	973	216	446	216	103	118	0	0	0	0	0	0	0	0	0	1	2	103	55	76	37	54	50	50	14	21	1	9	33	6	3	6	6	3	6	5	5	1	3	0	0	0	0	1	0	0	0	2	2	0	0	447	1538	1904	2018	912	1052	901	434	1	219	287	327	9	3	0	1	0	0	0	3	1	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv36	8	1	363	1105	181	1740	287	1459	0	272	1077	326	1	894	199	1308	133	219	604	64	385	0	2	1	0	2	0	1	0	0	3	22	673	543	412	386	434	336	389	177	635	3	253	584	0	3	1	1	2	2	0	1	2	3	2	0	0	0	0	0	0	2	0	1	0	1	320	394	405	449	554	633	349	409	0	577	453	560	34	0	3	2	1	3	0	2	1	0	0	0	0	0	2	0	1	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv37	190	128	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	5	0	38	99	181	316	56	69	118	9	28	877	46	0	0	0	0	0	0	4	4	0	650	0	0	163	164	260	245	260	249	129	317	1095	149	54	67	53	0	37	44	34	86	9	719	18	39	0	0	0	0	0	0	0	0	430	0	0	0	65	303	36	262	0	155	53	539	262	24	48	6	19	76	1152	105	1542	223	414	1243	95	572	33	98	8	82	57	45	43	202	91	0	64	13	37	72	0	72	15	70	394	156	516	222	129	257	8	78	14	1095	148	1223	176	137	78	22	185	22
asv38	13	25	104	483	58	726	50	480	0	71	440	77	5	508	65	503	29	54	459	58	297	0	22	9	58	21	16	22	17	5	22	15	41	49	44	46	53	49	53	68	128	13	66	101	275	221	211	300	192	330	262	271	35	321	334	257	230	0	164	200	143	344	166	26	183	156	340	342	214	288	405	508	389	534	23	784	846	810	7	248	0	299	1	381	24	43	201	15	166	10	155	0	3	0	14	0	38	18	0	6	1	10	0	8	294	197	25	22	211	6	246	42	264	43	0	176	34	299	466	44	334	32	71	38	17	293	11	82	2	32	0	1	0	2	28	5
asv39	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	5	6	8	2	3	4	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	2	3	5	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	765	131	45	0	0	2	0	0	0	0	1	3	1	1106	129	76	174	180	3418	0	1793	248	960	980	250	2845	25	1536	325	395	0	4	0	1	6	13	255	46	1642	0	1	0	1	9	1	111	80	2832
